개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,소재지면적,소재지우편번호,도로명우편번호,사업장명,업태구분명,데이터갱신구분,관리주체,데이터갱신시점,도로명주소,병상수,상세영업상태명,상세영업상태코드,영업상태코드,의료기관종별명,의료인수,입원실수,전화번호,좌표정보(X),좌표정보(Y),지번주소,진료과목내용,진료과목내용명,총면적,최종수정시점
4490000,PHMA220214490260021200001,2021-05-20,,폐업,2021-10-18,,,5742.92,,31254,라온힐필립병원,정신병원,I,시군구,2026-02-19 17:28:49,"충청남도 천안시 동남구 병천면 충절로 1782, 2층~7층",218,폐업,03,03,정신병원,1,43,0415617777,226969.229949856    ,362368.387249723    ,충청남도 천안시 동남구 병천면 병천리 176-7,308 307 306 305 304 303 302 301 122 120 119 115 114 111 109 108 105 104 103 102 101,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 성형외과, 마취통증의학과, 소아청소년과, 피부과, 비뇨의학과, 진단검사의학과, 재활의학과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",5742.92,2021-10-18 09:49:12
4490000,PHMA220214490260021200002,2021-07-30,,영업/정상,,,,5578.79,,31119,천안다나힐병원,병원,U,시군구,2026-05-19 03:03:03,충청남도 천안시 동남구 터미널3길 5(신부동),66,영업중,13,01,병원,13,28,0415627000,214090.92969049     ,368733.077074382    ,,308 307 305 304 303 302 301 122 120 115 114 111 108 106 104 101,"내과, 외과, 신경외과, 성형외과, 소아청소년과, 피부과, 비뇨의학과, 재활의학과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 사상체질과, 침구과",5578.79,2026-05-18 11:43:48
4490000,PHMA220084490042021200002,2008-02-15,,폐업,2013-09-11,,,883.87,331-172,,참조은병원,병원,I,시군구,2026-02-19 17:28:49,충청남도 천안시 서북구 동서대로 110-23 (성정동),90,폐업,03,03,병원,1,0,,211977.183256579    ,369217.057710812    ,충청남도 천안시 서북구 성정2동 544번지,101 120 114 111 122,"내과, 소아청소년과, 피부과, 재활의학과, 가정의학과",883.87,2014-11-03 17:36:09
4490000,PHMA220084490042021200003,2008-01-17,,휴업,,2026-02-20,2026-10-20,4772.32,331-959,31107,천안해울병원,병원,U,시군구,2026-05-14 03:03:03,충청남도 천안시 서북구 원두정3길 37 (두정동),57,휴업,02,02,병원,6,11,,212143.901726633    ,370237.186200327    ,충청남도 천안시 서북구 두정동 943번지,116 109 106 105 104 102 101,"내과, 신경과, 외과, 정형외과, 신경외과, 마취통증의학과, 영상의학과",4772.32,2026-05-13 16:40:58
4490000,PHMA220084490042021200004,2008-05-22,,영업/정상,,,,2160,,31139,큰사랑요양병원,요양병원(일반요양병원),U,시군구,2026-04-11 03:03:03,충청남도 천안시 서북구 도원4길 7 (성정동),98,영업중,13,01,요양병원(일반요양병원),14,20,0415791190,211795.115326639    ,368714.390157289    ,충청남도 천안시 서북구 성정동 954번지,111 110 101,"내과, 산부인과, 소아청소년과",2160,2026-04-10 15:43:04
4490000,PHMA220084490042021200005,2008-06-02,,영업/정상,,,,2734,,31192,천안세인트요양병원,요양병원(일반요양병원),I,시군구,2026-02-19 17:28:49,충청남도 천안시 동남구 구성2길 11 (구성동),112,영업중,13,01,요양병원(일반요양병원),16,22,0415520700,214189.379287335    ,366340.805448476    ,충청남도 천안시 동남구 구성동 476번지 2호,308 307 306 305 304 303 302 122 120 111 106 105 104 101,"내과, 외과, 정형외과, 신경외과, 소아청소년과, 재활의학과, 가정의학과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",2734,2025-09-10 14:26:18
4490000,PHMA220084490042021200006,2008-10-17,,영업/정상,,,,6347,,31193,천안요양병원,요양병원(일반요양병원),U,시군구,2026-05-19 03:03:03,"충청남도 천안시 동남구 삼룡천3길 10 (구성동, 이라의료재단 천안병원)",238,영업중,13,01,요양병원(일반요양병원),37,43,0415695533,214561.34279686     ,365516.980080281    ,,101 104 111 120 122 301,"내과, 외과, 소아청소년과, 재활의학과, 가정의학과, 한방내과",6347,2026-05-18 11:44:03
4490000,PHMA220094490042021200001,2009-03-24,,영업/정상,,,,1964.33,,31163,마음애병원,정신병원,I,시군구,2026-02-19 17:28:49,"충청남도 천안시 서북구 검은들3길 60, 리치프라자 (불당동)",55,영업중,13,01,정신병원,6,15,0415665119,209759.650622619    ,367613.162108392    ,"충청남도 천안시 서북구 불당동 732번지 리치프라자 5,7,8,9층",103,정신건강의학과,1964.33,2024-02-11 20:13:26
4490000,PHMA220094490042021200002,2009-02-05,,휴업,,2026-05-20,2027-11-20,2465,330-846,31233,의료법인세온의료재단브라운요양병원,요양병원(일반요양병원),U,시군구,2026-05-21 03:03:03,충청남도 천안시 동남구 목천읍 충절로 794,159,휴업,02,02,요양병원(일반요양병원),9,31,0415531234,217792.937787602    ,363014.288900791    ,충청남도 천안시 동남구 목천읍 신계리 394번지 3호,308 301 122 104 102 101,"내과, 신경과, 외과, 가정의학과, 한방내과, 침구과",2465,2026-05-20 17:57:38
4490000,PHMA220094490042021200003,2009-04-24,,영업/정상,,,,831.69,,31174,우리척병원,병원,U,시군구,2026-04-29 03:03:03,충청남도 천안시 서북구 충무로 155 (쌍용동),52,영업중,13,01,병원,6,16,,211044.085744981    ,365848.847068219    ,충청남도 천안시 서북구 쌍용동 494-17 우리척병원,105 106 109 116,"정형외과, 신경외과, 마취통증의학과, 영상의학과",831.69,2026-04-28 16:25:07
4490000,PHMA220094490042021200004,2009-10-30,,영업/정상,,,,718.3,,31156,참조은치과병원,치과병원,I,시군구,2026-03-05 22:30:02,"충청남도 천안시 서북구 불당21로 67-8, 6층 601~603호 (불당동)",0,영업중,13,01,치과병원,5,0,0414173500,209591.482831148    ,367992.504402902    ,충청남도 천안시 서북구 불당동 1537-2,412 407 406 405 404 403,"치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 통합치의학과",718.3,2026-03-04 13:06:08
4490000,PHMA220104490042021200001,2010-01-13,,폐업,2020-01-15,,,1267.27,331-946,,미즈나래여성병원,병원,I,시군구,2026-02-19 17:28:48,"충청남도 천안시 서북구 충무로 158-13 (쌍용동,2필지)",60,폐업,03,03,병원,12,30,0415778888,211192.113390067    ,365734.492672786    ,충청남도 천안시 서북구 쌍용1동 395번지 9호 2필지,110,산부인과,1267.27,2020-01-15 20:08:27
4490000,PHMA220104490042021200002,2010-03-04,,폐업,2013-07-05,,,0,331-977,,그린필병원,병원,I,시군구,2026-02-19 17:28:49,충청남도 천안시 서북구 백석로 207 (성정동),117,폐업,03,03,병원,1,22,,211791.11360678     ,368665.50468679     ,충청남도 천안시 서북구 성정2동 964번지,101 120,"내과, 재활의학과",0,2013-07-05 17:38:07
4490000,PHMA220104490042021200003,2010-03-04,,영업/정상,,,,4607,331-210,31099,두정이진병원,병원,U,시군구,2026-05-19 03:03:03,충청남도 천안시 서북구 동서대로 65 (두정동),59,영업중,13,01,병원,47,36,0415792122,211575.023157984    ,369413.570416111    ,충청남도 천안시 서북구 두정동 633번지,111,소아청소년과,4607,2026-05-18 13:27:17
4490000,PHMA220104490042021200004,2010-04-21,,영업/정상,,,,3797.63,,31097,서울우리병원,병원,I,시군구,2026-05-13 22:30:01,"충청남도 천안시 서북구 한들3로 9 (백석동, 서울우리병원)",58,영업중,13,01,병원,25,15,15442822,210948.778268171    ,369227.733706904    ,충청남도 천안시 서북구 백석동 117번지,106 109 116 105,"정형외과, 신경외과, 마취통증의학과, 영상의학과",3797.63,2026-05-12 11:36:50
4490000,PHMA220104490042021200005,2010-11-12,,영업/정상,,,,7096,331-980,31159,백석요양병원,요양병원(일반요양병원),U,시군구,2026-05-08 03:03:03,충청남도 천안시 서북구 백석5길 4 (백석동),231,영업중,13,01,요양병원(일반요양병원),36,48,0415652300,211311.020811798    ,368898.32627879     ,충청남도 천안시 서북구 백석동 836번지,101 120 122 102 301 308 106 105 104,"내과, 신경과, 외과, 정형외과, 신경외과, 재활의학과, 가정의학과, 한방내과, 침구과",7096,2026-05-07 11:23:54
4490000,PHMA220114490042021200001,2011-04-07,,취소/말소/만료/정지/중지,2012-11-06,,,0,331-946,,유림요양병원,요양병원(일반요양병원),I,시군구,2026-02-19 17:28:49,"충청남도 천안시 서북구 쌍용19로 21 (쌍용동,외1필지)",60,직권폐업,24,04,요양병원(일반요양병원),2,9,,210752.28671311     ,365878.108591864    ,충청남도 천안시 서북구 쌍용1동 415번지 1호 외1필지,102 109 101 104 105 113 120 301,"내과, 신경과, 외과, 정형외과, 마취통증의학과, 이비인후과, 재활의학과, 한방내과",0,2013-10-17 11:24:56
4490000,PHMA220114490042021200002,2011-06-09,,영업/정상,,,,3201.58,,31122,의료법인 혜강의료재단 혜강병원,정신병원,U,시군구,2026-05-16 03:03:03,"충청남도 천안시 동남구 대흥로 288, 화정빌딩 지하2층~지상6층 (성황동)",189,영업중,13,01,정신병원,19,44,0415558275,213277.80156708     ,368008.532168868    ,충청남도 천안시 동남구 성황동 71-1 화정빌딩,101 102 103 105 114 115 122,"내과, 신경과, 정신건강의학과, 정형외과, 피부과, 비뇨의학과, 가정의학과",3201.58,2026-05-15 03:43:33
4490000,PHMA220114490042021200003,2011-07-21,,폐업,2017-07-24,,,1382,,31131,제중요양병원,요양병원(일반요양병원),I,시군구,2026-02-19 17:28:49,"충청남도 천안시 동남구 큰시장길 37, 2,3층 (영성동)",83,폐업,03,03,요양병원(일반요양병원),10,17,0415233575,213400.85368341     ,366772.415541689    ,"충청남도 천안시 동남구 영성동 80번지 4호 2,3층",301 302 303 304 305 306 307 308 101 105 109,"내과, 정형외과, 마취통증의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",1382,2019-11-12 17:33:38
4490000,PHMA220114490042021200004,2011-09-26,,휴업,,2025-10-18,2026-10-30,894.03,,31163,의료법인아선의료재단메디케어요양병원,요양병원(일반요양병원),U,시군구,2026-04-30 03:03:03,"충청남도 천안시 서북구 검은들1길 20, 메디컬타워 5층, 7층 (불당동)",61,휴업,02,02,요양병원(일반요양병원),4,10,0415672277,209764.17872252     ,367772.382764766    ,"충청남도 천안시 서북구 불당동 705 메디컬타워, 5층, 7층",101 104 102 120 122 301 308,"내과, 신경과, 외과, 재활의학과, 가정의학과, 한방내과, 침구과",894.03,2026-04-29 11:20:03
4490000,PHMA220124490261021200001,2012-04-13,,폐업,2019-02-12,,,600.59,331-956,31166,부강병원,병원,U,시군구,2026-04-08 03:03:03,충청남도 천안시 서북구 쌍용1길 21 (쌍용동),56,폐업,03,03,병원,5,12,0415777733,210575.20818702     ,366678.430326726    ,충청남도 천안시 서북구 쌍용3동 2013번지,101 105 116 109 111 113 106,"내과, 정형외과, 신경외과, 마취통증의학과, 소아청소년과, 이비인후과, 영상의학과",600.59,2026-04-07 11:18:13
4490000,PHMA220134490260021200001,2013-03-14,,폐업,2014-07-02,,,543.13,,31212,의료법인금비의료재단천안믿음요양병원,요양병원(일반요양병원),I,시군구,2026-02-19 17:28:49,"충청남도 천안시 동남구 천안대로 215 (삼룡동, 천안효요양병원)",56,폐업,03,03,요양병원(일반요양병원),1,16,,214670.392318062    ,362906.847543519    ,충청남도 천안시 동남구 삼룡동 381번지 22호 3층,101 102 122 120,"내과, 신경과, 재활의학과, 가정의학과",543.13,2015-11-13 11:08:07
4490000,PHMA220134490261021200003,2013-12-26,,영업/정상,,,,2604.26,,31133,돋움병원,병원,U,시군구,2026-05-19 03:03:03,충청남도 천안시 서북구 동서대로 110-23 (성정동),100,영업중,13,01,병원,30,21,0414152222,211995.525599993    ,369196.041993764    ,충청남도 천안시 서북구 성정동 544-7,122 120 106 105 104 101,"내과, 외과, 정형외과, 신경외과, 재활의학과, 가정의학과",2604.26,2026-05-18 13:27:08
4490000,PHMA220144490260021200001,2014-01-08,,영업/정상,,,,4052,,31130,가야요양병원,요양병원(일반요양병원),U,시군구,2026-04-07 03:03:03,"충청남도 천안시 동남구 영성로 7 (영성동, 가야요양병원)",180,영업중,13,01,요양병원(일반요양병원),26,29,0415581000,213355.046302026    ,366407.492656816    ,충청남도 천안시 동남구 영성동 170번지 2호,301 120 104 102 101,"내과, 신경과, 외과, 재활의학과, 한방내과",4052,2026-04-06 13:18:49
4490000,PHMA220144490261021200001,2014-06-18,,취소/말소/만료/정지/중지,2016-11-23,,,4049.96,331-959,31100,의료법인금비의료재단시온척척병원,병원,I,시군구,2026-02-19 17:28:49,충청남도 천안시 서북구 두정로 187 (두정동),98,직권폐업,24,04,병원,28,0,0415231000,212215.675379092    ,370300.922660432    ,충청남도 천안시 서북구 두정동 945번지,106 105 101 114 108 116 109 104,"내과, 외과, 정형외과, 신경외과, 성형외과, 마취통증의학과, 피부과, 영상의학과",4049.96,2016-11-23 15:34:51
4490000,PHMA220144490261021200002,2014-11-14,,영업/정상,,,,1497.7,331-946,31172,천안우리요양병원,요양병원(일반요양병원),U,시군구,2026-04-29 03:03:03,"충청남도 천안시 서북구 쌍용19로 21 (쌍용동, 유림빌딩(2,3,4층))",70,영업중,13,01,요양병원(일반요양병원),8,10,0414151004,210752.28671311     ,365878.108591864    ,충청남도 천안시 서북구 쌍용동 415번지 1호,101 104 122 120,"내과, 외과, 재활의학과, 가정의학과",1497.7,2026-04-28 16:24:43
4490000,PHMA220164490260021200001,2016-02-25,,영업/정상,,,,3065.5,,31129,의료법인 백석의료재단 한사랑요양병원,요양병원(일반요양병원),U,시군구,2026-05-19 03:03:03,"충청남도 천안시 동남구 대흥로 228 (대흥동, 삼영빌딩)",197,영업중,13,01,요양병원(일반요양병원),36,35,0415567781,213145.007534091    ,367451.618122438    ,충청남도 천안시 동남구 대흥동 80번지,301 120 106 105 101,"내과, 정형외과, 신경외과, 재활의학과, 한방내과",3065.5,2026-05-18 11:44:19
4490000,PHMA220164490260021200002,2016-04-29,,영업/정상,,,,5968.9,,31070,선한이웃요양병원,요양병원(일반요양병원),U,시군구,2026-05-19 03:03:03,충청남도 천안시 동남구 정골2길 91 (구성동),291,영업중,13,01,요양병원(일반요양병원),46,54,0415645555,215763.948910171    ,366446.346747612    ,충청남도 천안시 동남구 구성동 87번지,308 122 120 104 101,"내과, 외과, 재활의학과, 가정의학과, 침구과",5968.9,2026-05-18 11:43:19
4490000,PHMA220164490261021200001,2016-07-22,,영업/정상,,,,2182.17,,31112,제중한방병원,한방병원,I,시군구,2026-02-28 22:30:02,"충청남도 천안시 서북구 천안대로 1024-5, 1층~3층 (두정동)",46,영업중,13,01,한방병원,6,21,0415682632,213531.007740088    ,370237.562618447    ,충청남도 천안시 서북구 두정동 397-4 1층~3층,308 307 306 305 304 303 302 301 122,"가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",2182.17,2026-02-27 16:17:18
4490000,PHMA220214490260021200003,2021-11-02,,영업/정상,,,,7385.71,,31124,나은필병원,병원,U,시군구,2026-04-07 03:03:03,"충청남도 천안시 동남구 만남로 64, 1층일부,4~9층 (신부동)",170,영업중,13,01,병원,99,53,0414170001,214154.428994045    ,368636.757402299    ,,101 105 106 108 109 116 120,"내과, 정형외과, 신경외과, 성형외과, 마취통증의학과, 영상의학과, 재활의학과",7385.71,2026-04-06 13:20:17
4490000,PHMA220214490261021200001,2021-08-23,,영업/정상,,,,2048.15,,31078,예스365한방병원,한방병원,I,시군구,2026-02-19 17:28:49,"충청남도 천안시 서북구 성성8로 2-15, 5,6,7층 (성성동)",57,영업중,13,01,한방병원,16,28,0414171075,211541.705314573    ,370948.251718747    ,충청남도 천안시 서북구 성성동 681,308 307 306 305 304 303 302 301 120 115 106 105,"정형외과, 신경외과, 비뇨의학과, 재활의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",2048.15,2025-12-02 13:28:55
4490000,PHMA220214490261021200002,2021-10-27,,영업/정상,,,,2503.01,,31155,천안도솔한방병원,한방병원,U,시군구,2026-05-08 03:03:03,"충청남도 천안시 서북구 서부대로 368, 3~5층 (쌍용동)",57,영업중,13,01,한방병원,18,23,0415711075,211268.193908319    ,366534.060545729    ,충청남도 천안시 서북구 쌍용동 1235,308 307 306 305 304 303 302 301 122 109 101,"내과, 마취통증의학과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",2503.01,2026-05-07 11:24:08
4490000,PHMA220224490261021200001,2022-06-14,,폐업,2026-02-18,,,1541.68,,31107,천안성심요양병원,요양병원(일반요양병원),I,시군구,2026-03-05 22:30:02,"충청남도 천안시 서북구 원두정3길 37, 4층,5층 (두정동)",105,폐업,03,03,요양병원(일반요양병원),1,23,0415648271,212170.713323326    ,370236.835964309    ,,301 122 120 115 114 113 112 110 109 106 105 104 103 102 101,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 마취통증의학과, 산부인과, 안과, 이비인후과, 피부과, 비뇨의학과, 재활의학과, 가정의학과, 한방내과",1541.68,2026-03-04 13:05:00
4490000,PHMA220224490261021200002,2022-07-19,,영업/정상,,,,3071.6,,31156,바를추한방병원,한방병원,U,시군구,2026-04-15 03:03:03,"충청남도 천안시 서북구 불당23로 73-27, 4층 (불당동)",55,영업중,13,01,한방병원,16,23,0414149696,209712.890694003    ,368783.731868105    ,,101 104 301 302 303 306 308,"내과, 외과, 한방내과, 한방부인과, 한방소아과, 한방재활의학과, 침구과",3071.6,2026-04-14 13:22:01
4490000,PHMA220224490261021200003,2022-11-09,,영업/정상,,,,2107,,31097,천안퍼스트힐요양병원,요양병원(일반요양병원),U,시군구,2026-04-11 03:03:03,"충청남도 천안시 서북구 백석로 99, 1층~4층 (백석동)",48,영업중,13,01,요양병원(일반요양병원),10,20,0419047000,210878.852723402    ,369190.934054714    ,,101 110 122 307,"내과, 산부인과, 가정의학과, 사상체질과",2107,2026-04-10 15:52:42
4490000,PHMA220234490260021200001,2023-06-09,,영업/정상,,,,5423.62,,31212,프라미스요양병원,요양병원(일반요양병원),U,시군구,2026-05-19 03:03:03,"충청남도 천안시 동남구 천안대로 215, B1~3(일부)층 (삼룡동)",250,영업중,13,01,요양병원(일반요양병원),28,43,0416223311,214670.392318062    ,362906.847543519    ,충청남도 천안시 동남구 삼룡동 381-22 B1~3(일부)층,308 307 306 305 304 303 302 301 120 106 104 101,"내과, 외과, 신경외과, 재활의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",5423.62,2026-05-18 11:44:33
4490000,PHMA220234490261021200001,2023-01-06,,폐업,2024-02-07,,,3445.6,,31037,직산큰병원,병원,I,시군구,2026-02-19 17:28:49,"충청남도 천안시 서북구 직산읍 직산로 65, 2층 201호, 3층",41,폐업,03,03,병원,5,16,0415822200,213716.810762982    ,375782.285407907    ,"충청남도 천안시 서북구 직산읍 삼은리 36-16 2층 201호, 3층",111 105 101,"내과, 정형외과, 소아청소년과",3445.6,2025-12-10 16:51:11
4490000,PHMA220244490260021200001,2024-07-16,,폐업,2025-01-16,,,3814.42,,31254,새희망병원,정신병원,I,시군구,2026-02-19 17:28:49,충청남도 천안시 동남구 병천면 충절로 1782,108,폐업,03,03,정신병원,1,18,0415672580,226969.229949856    ,362368.387249723    ,충청남도 천안시 동남구 병천면 병천리 176-7,103,정신건강의학과,3814.42,2025-01-15 15:07:38
4490000,PHMA220244490261021200001,2024-01-12,,영업/정상,,,,2159.44,,31109,더노블천안한방병원,한방병원,U,시군구,2026-05-19 03:03:03,"충청남도 천안시 서북구 성정공원1길 9-7, 더노블 5~8층 (성정동)",43,영업중,13,01,한방병원,14,20,0419007979,212280.269990313    ,369454.275184312    ,,109 120 301 302 303 304 305 306 307 308,"마취통증의학과, 재활의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",2159.44,2026-05-18 13:25:42
4490000,PHMA220244490261021200002,2024-08-02,,영업/정상,,,,2869.94,,31037,새생명한방병원,한방병원,U,시군구,2026-04-11 03:03:03,"충청남도 천안시 서북구 직산읍 직산로 65, 3,5층",87,영업중,13,01,한방병원,9,52,0415840916,213716.810762982    ,375782.285407907    ,,109 301 302 303 304 305 306 307 308,"마취통증의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",2869.94,2026-04-10 15:52:27
4490000,PHMA219844490042021200001,1984-09-20,,영업/정상,,,,12924,330-714,31116,단국대학교치과대학치과병원,치과병원,U,시군구,2026-05-09 03:03:03,충청남도 천안시 동남구 단대로 119 (안서동),0,영업중,13,01,치과병원,136,0,0415500114,215074.474385026    ,370829.421252051    ,충청남도 천안시 동남구 안서동 522번지 133호,412 411 409 408 407 406 405 404 403 402 109,"마취통증의학과, 구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 예방치과, 통합치의학과",12924,2026-05-08 10:05:02
4490000,PHMA219914490042021200001,1991-09-30,,영업/정상,,,,14118.03,331-958,31099,대전대학교천안한방병원,한방병원,U,시군구,2026-05-19 03:03:03,충청남도 천안시 서북구 노태산로 4 (두정동),99,영업중,13,01,한방병원,36,32,0415217000,211383.265636416    ,369362.008069355    ,충청남도 천안시 서북구 두정동 621번지,301 304 307 308 305 302 303 306 101,"내과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",14118.03,2026-05-18 13:26:48
