노선정보그룹,노선정보설명,전체노선길이,회차지순번,출발정류장,도착정류장,데이터 기준일
288000137,경로 수정 테스트,23797,131,288010385,288010386,2025-09-01
285000240,매곡3리 방면,14175,34,285000989,288002009,2025-09-01
288000138,신규테스트33,12011,53,288002096,288000498,2025-09-01
285000243,종합터미널 방면,12916,17,288000131,285010125,2025-09-01
285000237,백석농공단지 방면,12652,25,285010152,285071484,2025-09-01
285000235,백석농공단지 방면,14514,40,288001101,285071484,2025-09-01
285000236,산동1리(종점) 방면,12318,11,285000989,285010151,2025-09-01
285000242,선문대학교 방면,12693,57,285000687,285001693,2025-09-01
285000239,백석농공단지 방면,12468,3,285001745,285071484,2025-09-01
285000234,월랑1리 방면,15103,13,285000989,288001102,2025-09-01
285000238,동산2리 방면,12050,19,285000989,285001575,2025-09-01
285000241,백석농공단지 방면,14369,14,288002008,285071484,2025-09-01
288000158,970노선0213,65220,149,288000489,288000498,2025-09-01
288000159,980노선0213,77867,158,288000489,288000498,2025-09-01
288000160,981노선0213,29505,73,288001547,288001055,2025-09-01
288000161,982노선0213,19263,84,288001618,285010125,2025-09-01
288000162,990노선0213,58344,149,288002127,288002128,2025-09-01
288000163,311번,47793,103,288010167,288010168,2025-09-01
288000164,321번,48126,96,288000761,288000715,2025-09-01
288000165,320번,52882,108,288010167,288010168,2025-09-01
288000166,720,26422,86,288001117,288000498,2025-09-01
288000167,980번,78003,157,288000489,288000498,2025-09-01
288000168,980,78003,156,288000489,288000498,2025-09-01
288000171,마중10,2554,8,288002181,288002180,2025-09-01
288000213,200,22777,37,288001155,288001156,2025-09-01
288000214,201,33455,56,288001003,288001002,2025-09-01
288000215,210,28672,48,288001156,288001155,2025-09-01
288000216,220,36463,55,288001155,288001156,2025-09-01
288000217,221,23300,40,288001113,288001114,2025-09-01
288000218,230,26558,41,288001438,285000095,2025-09-01
288000219,231,26557,40,288001438,285000095,2025-09-01
288000220,240,54061,101,288000489,288000498,2025-09-01
288000221,300,26136,62,288000761,288000715,2025-09-01
288000222,301,27853,67,288000761,288000715,2025-09-01
288000223,302,31239,66,288000761,288000715,2025-09-01
288000224,303,16867,77,288001480,288000752,2025-09-01
288000229,401,59410,102,288000448,288001545,2025-09-01
288000230,402,45203,90,288000448,288001545,2025-09-01
288000282,221,23279,41,288001113,288001114,2025-09-01
288000283,221,23199,41,288001113,288001114,2025-09-01
288000284,230,26479,42,288001438,285000095,2025-09-01
288000285,231,26478,41,288001438,285000095,2025-09-01
288000286,240,53982,102,288000489,288000498,2025-09-01
288000290,340,17462,53,288000761,288000715,2025-09-01
288000291,990,58606,149,288002127,288002128,2025-09-01
288000292,991,43145,104,288002127,288002128,2025-09-01
288000293,350,33095,58,288010167,288010168,2025-09-01
288000294,351,20102,45,288010167,288010168,2025-09-01
288000295,352,34092,56,288010167,288010168,2025-09-01
288000322,420번,46892,88,288010167,288010168,2025-09-01
288000358,621,51498,72,288000729,288000732,2025-09-01
288000378,401번,59574,102,288000448,288001545,2025-09-01
288000394,503번 (개편),51794,100,288010385,288010483,2025-09-01
288000419,777,48049,76,288001074,288001054,2025-09-01
288000420,700,55673,115,288000489,288000498,2025-09-01
288000421,701,59222,124,288000489,288000498,2025-09-01
288000422,612,63303,100,288001545,288000448,2025-09-01
288000423,700,50643,105,288000489,288000498,2025-09-01
288000473,50번_노선수정(24일),21353,34,288001156,288001155,2025-09-01
288000474,501번_노선수정(24일),68106,129,288010468,288010468,2025-09-01
288000475,502_노선수정(24일),19254,76,288001156,288010468,2025-09-01
288000476,200_노선수정(24일),28935,52,288001156,288001155,2025-09-01
288000477,201_노선수정(24일),30838,56,288001156,288001155,2025-09-01
288000494,54 (1203),44483,61,288000612,288000637,2025-09-01
288000495,53,39900,49,288000612,288000637,2025-09-01
288000496,54번_노선수정(12월7일),44483,60,288000612,288000637,2025-09-01
288000497,170번_노선수정(12월8일),25320,57,288000489,288000498,2025-09-01
288000507,701_노선수정(12월22일),55241,109,288000489,288000498,2025-09-01
288000508,701_노선편집(12월28일),55194,109,288000489,288000498,2025-09-01
288000509,700_노선수정(12월28일),51645,100,288000489,288000498,2025-09-01
288000510,777_노선수정(12월28일),49653,75,288001074,288001054,2025-09-01
288000511,710_노선수정(12월28일),26949,58,288000729,288000732,2025-09-01
288000512,700_노선수정(12월29일),51645,101,288000489,288000498,2025-09-01
288000513,701_노선수정(12월29일),55194,110,288000489,288000498,2025-09-01
288000514,52번_노선수정(12월30일),33835,41,288000612,288000637,2025-09-01
288000515,220번_노선수정(01월05일),23634,42,288001113,288001114,2025-09-01
288000516,230번_노선수정(01월05일),31050,39,288001994,288001993,2025-09-01
288000517,731_노선수정(01월05일),43564,99,288000489,288000498,2025-09-01
288000518,777_노선수정(01월05일),49653,76,288001074,288001054,2025-09-01
288000519,980_노선수정(01월05일),60968,129,288000762,288000715,2025-09-01
288000520,981_노선수정(01월05일),49522,95,288010138,288000800,2025-09-01
288000521,730_노선수정(01월05일),46844,103,288000489,288000498,2025-09-01
288000522,982_노선수정(01월05일),57560,111,288010138,288000800,2025-09-01
288000523,401_노선수정(01월06일),59574,103,288000448,288001545,2025-09-01
288000524,402_노선수정(01월06일),45203,91,288000448,288001545,2025-09-01
288000525,403_노선수정(01월06일),37717,98,288000448,288001545,2025-09-01
288000526,850번_노선수정(01월07일),16222,46,288000489,288000498,2025-09-01
288000529,50번_노선수정(1월11일),20952,35,288001156,288001155,2025-09-01
288000530,60번_노선수정(1월11일),18195,23,288000612,288000637,2025-09-01
288000531,980_노선수정(1월11일),60968,128,288000762,288000715,2025-09-01
288000532,900번_노선수정(1월11일),24572,113,285000687,288001496,2025-09-01
288000533,910_노선수정(1월11일),26020,115,285000687,288001496,2025-09-01
288000534,920_노선수정(1월11일),27120,124,285000685,288001496,2025-09-01
288000535,502번,38582,76,288001156,288001155,2025-09-01
288000536,150_노선수정(1월12일),10160,44,288002096,288000498,2025-09-01
288000537,610_노선수정(1월12일),71000,125,288001545,288000448,2025-09-01
288000538,611_노선수정(1월12일),69304,121,288001545,288000448,2025-09-01
288000539,612_노선수정(1월12일),69251,113,288001545,288000448,2025-09-01
288000540,613_노선수정(1월12일),82714,137,288000448,288001545,2025-09-01
288000541,614_노선수정(1월12일),80724,135,288000448,288001545,2025-09-01
288000542,900_천안출발_1월13일,24544,113,285000687,288001496,2025-09-01
288000543,900_현충사출발_1월13일,25465,120,288001496,285000687,2025-09-01
288000544,910_천안출발_1월13일,26040,115,285000687,288001496,2025-09-01
288000546,920_종합터미널출발_1월13일,27140,125,285000685,288001496,2025-09-01
288000545,910_현충사출발_1월13일,26725,119,288001496,285000687,2025-09-01
288000547,920_현충사출발_1월13일,25557,114,288001496,285000685,2025-09-01
288000548,701_노선수정_1월13일,55158,110,288000489,288000498,2025-09-01
288000549,700_노선수정_1월13일,51609,101,288000489,288000498,2025-09-01
288000550,970_노선수정_1월13일,65427,149,288000489,288000498,2025-09-01
288000141,,52799,137,288001496,288001496,2025-09-01
288000147,,19852,48,288010167,288010168,2025-09-01
288000148,,34092,62,288010167,288010168,2025-09-01
288000149,,49935,103,288010167,288010168,2025-09-01
288000205,순환1,23681,52,288010385,288010483,2025-09-01
288000206,100,30410,65,288000489,288000498,2025-09-01
288000207,100,30410,65,288000489,288000498,2025-09-01
288000208,150,12011,50,288002096,288000498,2025-09-01
288000225,310,37501,84,288000761,288000715,2025-09-01
288000226,311,45988,98,288000761,288000715,2025-09-01
288000227,320,51127,104,288000761,288000715,2025-09-01
288000228,612,41327,137,288000448,288001588,2025-09-01
288000275,810,31098,79,288000762,288000715,2025-09-01
288000276,820,35326,82,288000762,288000715,2025-09-01
288000277,830,24476,57,288000762,288000715,2025-09-01
288000278,840,33430,76,288000762,288000715,2025-09-01
288000279,15,29113,44,288001959,288001958,2025-09-01
288000280,220,36464,56,288001155,288001156,2025-09-01
288000281,220,36464,56,288001155,288001156,2025-09-01
288000296,920,27120,122,285000685,288001496,2025-09-01
288000297,910,26020,113,285000687,288001496,2025-09-01
288000298,901,20534,92,285000687,288000715,2025-09-01
288000299,911,19130,90,285000687,288000715,2025-09-01
288000300,921,21625,101,285000685,288000715,2025-09-01
288000301,931,20583,93,285000687,288000715,2025-09-01
288000323,771,29564,60,288001494,288001069,2025-09-01
288000324,777,33281,44,288001547,288002193,2025-09-01
288000325,990,59017,150,288002127,288002128,2025-09-01
288000326,991,43622,105,288002127,288002128,2025-09-01
288000327,770,29388,47,288001494,288001069,2025-09-01
288000352,777,34842,43,288001547,288001055,2025-09-01
288000355,220(개편),23832,42,288001113,288001114,2025-09-01
288000356,980(개편),48164,91,288010138,288000800,2025-09-01
288000357,,34014,59,288001673,288001632,2025-09-01
288000367,980번(개편),61076,130,288000762,288000715,2025-09-01
288000368,200번(개편),28038,100,288001156,288001155,2025-09-01
288000369,200번(개편),28020,52,288001156,288001155,2025-09-01
288000370,101번(개편),25839,55,288000489,288000498,2025-09-01
288000371,352번(개편),36076,66,288000761,288000715,2025-09-01
288000372,810번(개편),41676,86,288000762,288000715,2025-09-01
288000373,영인둔포마중3번(개편),29998,38,288000612,288000637,2025-09-01
288000430,51,20601,31,288001161,288001162,2025-09-01
288000431,991,45102,107,288002127,288002128,2025-09-01
288000432,981,49522,94,288010138,288000800,2025-09-01
288000433,612,63503,105,288001545,288000448,2025-09-01
288000434,50번_노선개편,21211,54,288001156,288001155,2025-09-01
288000435,200,28020,52,288001156,288001155,2025-09-01
288000436,200,28229,54,288001156,288001155,2025-09-01
288000437,503,52003,102,288010385,288010483,2025-09-01
288000438,980,60968,128,288000762,288000715,2025-09-01
288000439,50,21211,31,288001156,288001155,2025-09-01
288000440,순환5,33868,63,288001673,288001632,2025-09-01
288000444,700,51692,100,288000489,288000498,2025-09-01
288000445,701,55241,106,288000489,288000498,2025-09-01
288000446,777,49763,75,288001074,288001054,2025-09-01
288000447,순환3,22958,90,288000131,285001693,2025-09-01
288000448,순환3,22958,90,288000131,285001693,2025-09-01
288000449,순환4,21858,92,288000131,285001693,2025-09-01
288000450,순환5,33868,63,288001673,288001632,2025-09-01
288000451,777,49763,75,288001074,288001054,2025-09-01
288000452,777,49657,148,288001074,288001054,2025-09-01
288000472,730(노선수정_23일),43890,85,288000729,288000732,2025-09-01
288000483,650_노선수정(12월07적용),24818,43,288000729,288000732,2025-09-01
288000498,52번_노선수정(12월8일),33835,79,288000612,288000637,2025-09-01
288000499,54번_노선수정(12월8일),44483,60,288000612,288000637,2025-09-01
288000505,990번_노선수정(12월21일),59017,150,288002127,288002128,2025-09-01
288000527,502_노선수정(1월8일),38582,76,288001156,288001155,2025-09-01
288000528,,16222,47,288000489,288000498,2025-09-01
288000551,660번_노선수정_1월13일,4508,22,288000958,288000761,2025-09-01
288000552,600번_노선수정(1월22일),73312,109,288001472,288001473,2025-09-01
288000553,54번_노선수정(1월28일),44483,60,288000612,288000637,2025-09-01
288000554,54_노선수정(1월29일),44483,60,288000612,288000637,2025-09-01
288000555,201_노선수정(2월1일),30837,56,288001156,288001155,2025-09-01
288000556,503번_노선수정(2월1일),65693,112,288010385,288010483,2025-09-01
288000557,503_노선수정(2월1일),62746,99,288010468,288010468,2025-09-01
288000558,512_노선수정(2월1일),82756,137,288010468,288010468,2025-09-01
288000559,999,36517,110,288000612,288000637,2025-09-01
288000560,970번_노선수정(2월4일),65405,149,288000489,288000498,2025-09-01
288000561,980번_노선수정(2월4일),61075,128,288000761,288000715,2025-09-01
288000562,순환3_노선수정(2월5일),22995,92,288000131,285001693,2025-09-01
288000563,순5번_노선수정(2월5일),33914,64,288001673,288001632,2025-09-01
288000564,순4_노선수정(2월5일),21867,93,288000131,285001693,2025-09-01
288000565,777_노선수정(2월5일),49699,78,288001074,288001054,2025-09-01
288000566,320_노선수정(2월12일),51127,104,288000761,288000715,2025-09-01
288000567,340번_노선수정(3월1일적용),19555,63,288000351,288000761,2025-09-01
288000568,101번_노선수정(3월1일),34707,78,288000489,288000498,2025-09-01
288000569,740번_노선수정(3월1일),18701,84,288010551,288000732,2025-09-01
288000570,731_노선수정(3월1일),49490,99,288000489,288000498,2025-09-01
288000571,순환4_노선수정(3월1일),21827,94,288000131,285001693,2025-09-01
288000572,11번_노선수정(3월1일),35563,57,288001942,288001943,2025-09-01
288000573,614번_노선수정(3월1일),76132,113,288000448,288001545,2025-09-01
288000574,971번_신규노선(3월1일),69155,151,288000489,288000498,2025-09-01
288000575,350번_노선수정(3월1일),31865,55,288000761,288000715,2025-09-01
288000576,352번_노선수정(3월1일),32855,57,288000761,288000715,2025-09-01
288000577,50번_노선수정(3월1일),21241,37,288001156,288001155,2025-09-01
288000578,410_노선수정(3월1일),58007,102,288010167,288010168,2025-09-01
288000579,420_노선수정(3월1일),49735,97,288010167,288010168,2025-09-01
288000580,740_노선수정(3월2일),18632,82,288010551,288000732,2025-09-01
288000581,352_노선수정(3월3일),32506,57,288000761,288000715,2025-09-01
288000582,350_노선수정(3월3일),31539,55,288000761,288000715,2025-09-01
288000583,620_노선수정(3월4일),54298,75,288000729,288000732,2025-09-01
288000584,621_노선수정(3월4일),51434,75,288000729,288000732,2025-09-01
288000585,622_노선수정(3월4일),53620,75,288000729,288000732,2025-09-01
288000586,700_노선수정(3월4일),51609,101,288000489,288000498,2025-09-01
288000587,701_노선수정(3월4일),55158,110,288000489,288000498,2025-09-01
288000588,777_노선수정(3월4일),49699,78,288001074,288001054,2025-09-01
288000589,순환3_노선수정(3월4일),22995,93,288000131,285001693,2025-09-01
288000590,889(테스트),10149,27,288000131,285001693,2025-09-01
288000591,순환3,22995,93,288000131,285001693,2025-09-01
288000128,송악면 환승센타,31479,47,288010440,288010440,2025-09-01
288000127,송악면 환승센타,30778,44,288010440,288010440,2025-09-01
288000001,,23808,54,288010385,288010386,2025-09-01
288000002,,30410,68,288000489,288000498,2025-09-01
288000139,수정테스트4,52882,226,288010167,288010168,2025-09-01
288000140,테스트 경로 수정정보44,18481,38,288010440,288010440,2025-09-01
288000142,,52799,136,288001496,288001496,2025-09-01
288000143,,52723,137,288001496,288001496,2025-09-01
288000144,,52799,148,288001496,288001496,2025-09-01
285000355,285000258수정(931),18642,87,288000762,285000685,2025-09-01
285000356,285000257수정(931),20512,60,285000687,288000715,2025-09-01
285000358,285000255(921)수정,20295,90,288000762,285000685,2025-09-01
285000359,285000254(921)수정,21554,68,285000685,288000715,2025-09-01
285000360,285000253(920)수정,25554,110,288001496,285000685,2025-09-01
285000361,285000252(920)수정,27034,68,285000685,288001496,2025-09-01
288000014,,12011,53,288002096,288000498,2025-09-01
288000015,,25320,59,288000489,288000498,2025-09-01
288000016,,31642,81,288000489,288000498,2025-09-01
288000017,,34918,85,288000489,288000498,2025-09-01
285000362,285000251(911)수정,20077,96,288000762,285000687,2025-09-01
285000363,285000250(911)수정,19059,60,285000687,288000715,2025-09-01
285000364,285000249(910)수정,26722,115,288001496,285000687,2025-09-01
285000365,285000248(910)수정,25934,59,285000687,288001496,2025-09-01
288000022,,22777,41,288001155,288001156,2025-09-01
288000023,,33455,58,288001003,288001002,2025-09-01
288000024,,28672,53,288001156,288001155,2025-09-01
288000025,,36463,64,288001155,288001156,2025-09-01
288000026,,23300,44,288001113,288001114,2025-09-01
288000027,,26558,44,288001438,285000095,2025-09-01
288000028,,26557,43,288001438,285000095,2025-09-01
288000029,,54061,107,288000489,288000498,2025-09-01
288000030,,27942,69,288010167,288010168,2025-09-01
288000031,,29658,73,288010167,288010168,2025-09-01
288000032,,33044,72,288010167,288010168,2025-09-01
288000033,,16867,80,288001480,288000752,2025-09-01
288000034,,39306,80,288010167,288010168,2025-09-01
288000035,,47795,105,288010167,288010168,2025-09-01
288000036,,52882,100,288010167,288010168,2025-09-01
288000037,,49935,94,288010167,288010168,2025-09-01
288000038,,17462,46,288000761,288000715,2025-09-01
288000039,,33095,61,288010167,288010168,2025-09-01
288000040,,19852,47,288010167,288010168,2025-09-01
288000041,,33375,62,288010167,288010168,2025-09-01
288000042,,9687,44,288000377,288000715,2025-09-01
288000043,,59596,103,288000448,288001545,2025-09-01
288000044,,45433,96,288000448,288001545,2025-09-01
288000045,,37717,97,288000448,288001545,2025-09-01
288000046,,57322,102,288010167,288010168,2025-09-01
288000047,,49728,96,288010167,288010168,2025-09-01
288000048,,38654,74,288010167,288010168,2025-09-01
288000049,,45082,83,288010167,288010168,2025-09-01
288000050,,54470,95,288010167,288010168,2025-09-01
288000051,,64767,110,288010167,288010168,2025-09-01
288000052,,57227,116,288010468,288010468,2025-09-01
288000053,,67964,125,288010468,288010468,2025-09-01
288000054,,23942,82,288001156,288010468,2025-09-01
288000055,,77672,129,288010468,288010468,2025-09-01
288000056,,57364,88,288010468,288010468,2025-09-01
288000057,,82803,135,288010468,288010468,2025-09-01
288000058,,89177,142,288010468,288010468,2025-09-01
288000059,,69650,101,288010468,288010468,2025-09-01
288000060,,81073,136,288010468,288010468,2025-09-01
288000061,,31239,102,288001156,288010468,2025-09-01
288000062,,60745,91,288010468,288010468,2025-09-01
288000063,,66069,98,288001472,288001473,2025-09-01
288000064,,68712,103,288001468,288001469,2025-09-01
288000065,,70906,122,288001545,288000448,2025-09-01
288000066,,82620,135,288000448,288001545,2025-09-01
288000067,,38706,129,288000448,288001588,2025-09-01
288000068,,67626,116,288001545,288000448,2025-09-01
288000069,,29541,98,288001588,288000732,2025-09-01
288000070,,54397,76,288000729,288000732,2025-09-01
288000071,,51498,74,288000729,288000732,2025-09-01
288000072,,53684,77,288000729,288000732,2025-09-01
288000073,,44153,69,288000729,288000732,2025-09-01
288000074,,53917,79,288000729,288000732,2025-09-01
288000075,,24808,40,288000729,288000732,2025-09-01
288000076,,4516,22,288000958,288000761,2025-09-01
288000077,,36780,78,288000489,288000498,2025-09-01
288000078,,36757,77,288000489,288000498,2025-09-01
288000079,,38207,100,288000489,288000498,2025-09-01
288000080,,38493,81,288000489,288000498,2025-09-01
288000081,,26354,87,288001117,288000498,2025-09-01
288000082,,47153,77,288000729,288000732,2025-09-01
288000083,,21437,85,288001547,288000498,2025-09-01
288000084,,22696,100,288000489,288001043,2025-09-01
288000085,,27209,60,288000489,288000498,2025-09-01
288000086,,29056,48,288001494,288001069,2025-09-01
288000087,,29564,65,288001494,288001069,2025-09-01
288000088,,34676,48,288001547,288001055,2025-09-01
288000089,,14263,31,288001673,288001632,2025-09-01
288000090,,19253,39,288001673,288001632,2025-09-01
288000091,,31098,82,288000762,288000715,2025-09-01
288000092,,35326,72,288000762,288000715,2025-09-01
288000093,,24476,65,288000762,288000715,2025-09-01
288000094,,33430,80,288000762,288000715,2025-09-01
288000095,,16222,39,288000489,288000498,2025-09-01
288000096,,52799,137,288001496,288001496,2025-09-01
288000097,,41846,109,288000762,288000351,2025-09-01
288000098,,52380,142,288001496,288001496,2025-09-01
288000099,,41626,117,288000762,288000351,2025-09-01
288000100,,52132,126,288001496,288001496,2025-09-01
288000101,,41498,101,288000762,288000351,2025-09-01
288000102,,20669,118,285000687,288000351,2025-09-01
288000103,,40990,101,288000762,288000351,2025-09-01
288000104,,65220,149,288000489,288000498,2025-09-01
288000105,,77867,158,288000489,288000498,2025-09-01
288000106,,29505,73,288001547,288001055,2025-09-01
288000107,,19209,84,288001618,285000685,2025-09-01
288000108,,58344,149,288002127,288002128,2025-09-01
288000109,,43147,104,288002127,288002128,2025-09-01
288000110,,7553,44,288010038,288010384,2025-09-01
288000111,,6947,36,288001541,288010038,2025-09-01
288000112,,7532,27,288010021,288010003,2025-09-01
288000113,,14079,31,288001696,288001695,2025-09-01
288000114,,17614,28,288010108,288010398,2025-09-01
288000115,,11582,23,288010303,288002226,2025-09-01
288000116,,23438,45,288010057,288010413,2025-09-01
288000117,,28700,43,288010403,288010402,2025-09-01
288000118,,4461,14,288010171,288010171,2025-09-01
288000119,,19277,25,288000448,288001545,2025-09-01
288000120,,28635,45,288001942,288001943,2025-09-01
288000121,,21494,32,288000636,288000635,2025-09-01
288000122,,21454,30,288001010,288001009,2025-09-01
288000123,,17443,48,288002106,288010223,2025-09-01
288000124,,24895,33,288001959,288001958,2025-09-01
288000125,,14312,28,288000059,288000058,2025-09-01
288000126,온양4동주민센터,14431,,,,2025-09-01
288000135,신정호,35123,57,288001545,288000448,2025-09-01
288000129,송악면 환승센타,34769,52,288010440,288010440,2025-09-01
288000130,송악면 환승센타,21994,32,288010440,288010440,2025-09-01
288000131,송악면 환승센타,23505,29,288010440,288010440,2025-09-01
288000132,송악면 환승센타,18481,63,288010440,288010440,2025-09-01
288000133,송악면 환승센타,4390,7,288010440,288010440,2025-09-01
288000134,송악면 환승센타,8320,32,288010440,288010440,2025-09-01
285000366,285000247(901)수정,21679,97,288000762,285000687,2025-09-01
285000367,285000246(901)수정,20463,59,285000687,288000715,2025-09-01
285000368,285000245(900)수정,25352,115,288001496,285000687,2025-09-01
285000369,285000244(900)수정,24343,60,285000687,288001496,2025-09-01
288000172,순환1,23808,53,288010385,288010386,2025-09-01
288000173,마중15,22843,31,288001959,288001958,2025-09-01
288000174,순환1번,23808,53,288010385,288010483,2025-09-01
288000182,마중15,27951,44,288001959,288001958,2025-09-01
288000183,441,45500,84,288010167,288010168,2025-09-01
288000184,마중15,29113,44,288001959,288001958,2025-09-01
288000185,,29505,73,288001547,288001055,2025-09-01
288000186,300,27980,70,288010167,288010168,2025-09-01
288000187,777,34676,48,288001547,288001055,2025-09-01
288000188,441,45914,91,288010167,288010168,2025-09-01
288000204,마중22,22184,33,288010440,288010440,2025-09-01
288000287,622,53684,72,288000729,288000732,2025-09-01
288000136,고속버스터미널,9689,49,288000868,288000715,2025-09-01
288000145,,52771,266,288001496,288001496,2025-09-01
288000146,,19539,118,288000868,288000865,2025-09-01
288000150,마중17,33928,50,288010440,288010440,2025-09-01
288000151,마중18,34629,47,288010440,288010440,2025-09-01
288000152,마중19,37919,52,288010440,288010440,2025-09-01
288000153,마중22,21631,38,288010440,288010440,2025-09-01
288000154,마중17,30778,50,288010440,288010440,2025-09-01
288000155,마중18,31479,47,288010440,288010440,2025-09-01
288000156,마중19,34769,52,288010440,288010440,2025-09-01
288000157,마중22,18481,29,288010440,288010440,2025-09-01
288000169,320번,52882,110,288010167,288010168,2025-09-01
288000170,마중16,14312,28,288000059,288000058,2025-09-01
288000209,170,25320,57,288000489,288000498,2025-09-01
288000210,171,31642,77,288000489,288000498,2025-09-01
288000211,172,34918,82,288000489,288000498,2025-09-01
288000288,621,51498,148,288000729,288000732,2025-09-01
288000289,900상,24551,111,285000687,288001496,2025-09-01
288000320,840,33430,77,288000762,288000715,2025-09-01
288000321,740,21437,86,288001547,288000498,2025-09-01
288000328,810,31098,80,288000762,288000715,2025-09-01
288000329,820,35326,83,288000762,288000715,2025-09-01
288000330,830,24476,58,288000762,288000715,2025-09-01
288000331,840,33389,69,288000762,288000715,2025-09-01
288000332,340,17462,53,288000761,288000715,2025-09-01
288000333,350,31290,54,288000761,288000715,2025-09-01
288000334,351,18297,40,288000761,288000715,2025-09-01
288000335,352,32287,54,288000761,288000715,2025-09-01
288000336,400,19440,44,288000761,288000715,2025-09-01
288000337,201,33455,56,288001003,288001002,2025-09-01
288000338,220,36464,56,288001155,288001156,2025-09-01
288000339,221,23199,41,288001113,288001114,2025-09-01
288000340,420,49728,96,288010167,288010168,2025-09-01
288000341,900,52771,137,288001496,288001496,2025-09-01
288000342,901,41846,109,288000762,288000351,2025-09-01
288000343,910,52380,142,288001496,288001496,2025-09-01
288000344,911,41626,117,288000762,288000351,2025-09-01
288000345,920,52132,126,288001496,288001496,2025-09-01
288000346,921,41498,101,288000762,288000351,2025-09-01
288000347,930,20669,119,285000687,288000351,2025-09-01
288000348,931,40990,101,288000762,288000351,2025-09-01
288000349,777,34842,43,288001547,288001055,2025-09-01
288000350,410,58000,99,288010167,288010168,2025-09-01
288000351,,34842,43,288001547,288001055,2025-09-01
288000353,테스트 경로정보,1377,5,288000775,288000776,2025-09-01
288000374,700번(개편),59624,111,288010385,288010483,2025-09-01
288000375,777번(개편),46212,68,288001613,288001053,2025-09-01
288000376,800번(개편),22129,40,288001673,288001632,2025-09-01
288000377,701번(개편),63132,119,288010385,288010483,2025-09-01
288000379,순환4(개편),21858,89,288000131,285001693,2025-09-01
288000380,501번(개편),66612,127,288010468,288010468,2025-09-01
288000381,둔포마중5 (60번 개편),13106,19,288000612,288000637,2025-09-01
288000382,음봉마중1 (70번 개편),29153,50,288000960,288000964,2025-09-01
288000383,151번(개편),12570,57,288000894,288000715,2025-09-01
288000384,730번(개편),41393,81,288000729,288000732,2025-09-01
288000385,731번(개편),40610,81,288000729,288000732,2025-09-01
288000386,영인마중 (60번 개편),11271,12,288000635,288000636,2025-09-01
288000387,둔포마중 (51번 개편),10757,20,288001162,288001161,2025-09-01
288000388,둔포마중 (50번 개편),23728,30,288001161,288001162,2025-09-01
288000389,영인음봉마중2 (52번 개편),32563,35,288000612,288000637,2025-09-01
0,,42798,135,288000612,288000637,2025-09-01
288000390,영인마중4 (54번 개편),42062,45,288000612,288000637,2025-09-01
288000406,순환5 1019,33952,62,288001673,288001632,2025-09-01
288000407,200 1019,28020,51,288001156,288001155,2025-09-01
288000408,54 1019,43657,55,288000612,288000637,2025-09-01
288000409,610,70906,122,288001545,288000448,2025-09-01
288000410,612 1019,75047,111,288000448,288000696,2025-09-01
288000411,611 1019,74802,114,288000448,288001545,2025-09-01
288000412,612 1020,63303,100,288001545,288000448,2025-09-01
288000414,304 1020,7637,40,288001497,288000351,2025-09-01
288000415,511 1020,62793,97,288010468,288010468,2025-09-01
288000416,53,39921,48,288000612,288000637,2025-09-01
288000417,352,32287,57,288000761,288000715,2025-09-01
288000418,502,19216,73,288001156,288010468,2025-09-01
288000441,501,67964,127,288010468,288010468,2025-09-01
288000455,982(21일개편),57560,110,288010138,288000800,2025-09-01
288000456,710번(21일 개편),26845,58,288000729,288000732,2025-09-01
288000457,101,30574,70,288000489,288000498,2025-09-01
288000458,101,30132,51,288001156,288001155,2025-09-01
288000459,510,77374,127,288010468,288010468,2025-09-01
288000460,503번(21일 개편),65299,122,288010385,288010483,2025-09-01
288000461,615(21일 개편),16456,72,288000635,288000498,2025-09-01
288000462,740(21일 개편),17822,81,288001547,288000732,2025-09-01
288000463,611(21일 개편),82620,134,288000448,288001545,2025-09-01
288000464,611(21일 개편),68564,111,288001545,288000448,2025-09-01
288000465,612(21일 개편),68564,111,288001545,288000448,2025-09-01
288000466,614(21일 개편),79492,133,288000448,288001545,2025-09-01
288000467,200(21일 개편),28944,48,288001156,288001155,2025-09-01
288000468,503(21일 개편),65407,110,288010385,288010483,2025-09-01
288000469,201(수정 21일),30240,52,288001156,288001155,2025-09-01
288000478,730_노선수정(26일),46844,102,288000489,288000498,2025-09-01
288000479,731_노선수정(26일),43564,98,288000489,288000498,2025-09-01
288000480,611_노선수정(12월1일),69109,113,288001545,288000448,2025-09-01
288000481,612_노선수정(12월01일),69109,113,288001545,288000448,2025-09-01
288000482,614_노선수정(12월01),80582,135,288000448,288001545,2025-09-01
288000484,512_노선수정(12월1일),82739,136,288010468,288010468,2025-09-01
288000485,,70842,124,288001545,288000448,2025-09-01
288000486,620_노선수정(12월1일),54298,74,288000729,288000732,2025-09-01
288000487,621_노선수정(12월1일),51434,74,288000729,288000732,2025-09-01
288000488,622_노선수정(12월1일),53620,74,288000729,288000732,2025-09-01
288000489,600_노선수정(12월1일),73312,108,288001472,288001473,2025-09-01
288000490,510_노선수정(12월1일),77310,129,288010468,288010468,2025-09-01
288000491,511_노선수정(12월1일),62729,99,288010468,288010468,2025-09-01
288000492,601_노선수정(12월1일),68648,100,288001468,288001469,2025-09-01
288000493,613_노선수정(12월1일),82556,136,288000448,288001545,2025-09-01
288000500,611번_노선수정(12월9일),69304,122,288001545,288000448,2025-09-01
